au_href,author,coin,danmaku,favorite,href,id,like,rank_num,rank_tab,reply,share,tag_name,title,view
//space.bilibili.com/34189415,low君热剧,14015,2684,7964,//www.bilibili.com/video/BV15h4y1n7jt,612908744,42560,100,影视,2178,9646,"曾敬骅,郑立松,不良执念清除师,曹光砚,蒲一永,陈楮英,林永川,沙雕,杨谨华,新剧好剧一起看,星动安利大作战·初夏篇",【low君】《不良执念清除师》：豆瓣8.9！笑发财了！这什么沙雕温情鬼片~,722711
//space.bilibili.com/477135302,三条姐,242,184,3107,//www.bilibili.com/video/BV1Tk4y1n7UD,740540472,26981,99,影视,750,577,"短片,B站小剧场,搞笑,职场,正能量,办公室,原创,五一,加班,我在B站拍短剧",你凭什么不加班？,355714
//space.bilibili.com/1472023202,涛叨电影,65,58,1068,//www.bilibili.com/video/BV1M14y1Z7A4,783058963,19053,98,影视,107,26,"电影解说,影视剪辑,影评杂谈,钟发",钟发：原来千鹤道长并不菜，他只打巅峰赛，奈何对面全是通天代,396812
//space.bilibili.com/3493084014840249,南栀剪辑,166,33,1752,//www.bilibili.com/video/BV1yX4y1m7r8,355582498,20676,97,影视,104,250,"影视剪辑,爱情,约定,经典好剧考古安利,星动安利大作战·初夏篇",最后没能遵守约定的那个人 原来是我,232651
//space.bilibili.com/3493123426617817,桥大爷_继续阔以,77,127,638,//www.bilibili.com/video/BV1Zs4y197PC,995459369,8913,96,影视,61,93,"原创,电影,爱情,影视剪辑,肥胖,视频,电影解说,动员,迷恋,影视整活大赏,影视的一万种打开方式",因过度迷恋肥胖，他把自己吃成了一吨,640205
//space.bilibili.com/669561187,白宗介,209,23,982,//www.bilibili.com/video/BV1qT41187na,485508212,25112,95,影视,79,71,"B站小剧场,我在B站拍短剧",假如房产销售和客户都说真话！,394294
//space.bilibili.com/365055662,跳跳猪追剧,352,90,14387,//www.bilibili.com/video/BV16s4y1A7G9,952844827,14802,94,影视,123,12,"科幻,星球大战,电影解说,尤达大师,曼达洛人,曼达洛人第三季,影视整活大赏",原来小尤达是这样逃过帝国66号指令的！,1916088
//space.bilibili.com/1759508092,李海棠重庆分棠,627,230,9644,//www.bilibili.com/video/BV1nM4y187wD,910484742,74278,93,影视,436,3194,"搞笑,日常,快乐,生活记录,生活,谁懂啊家人们,出门,进货,当你把一件事做到极致,我在B站拍短剧",出门进货的快乐谁懂啊家人们哈哈哈哈哈哈哈哈哈哈哈哈,1091546
//space.bilibili.com/1923419838,清梵影视,55,44,166,//www.bilibili.com/video/BV1Mo4y1873k,397908164,4856,92,影视,39,2,"悬疑,谍战,云水怒",小伙不懈努力终于完成上级交代的任务,398839
//space.bilibili.com/14517232,叫我蛰妾太太,7947,927,7713,//www.bilibili.com/video/BV1EM41157oH,527918104,21923,91,影视,1583,1098,"影视混剪,长月烬明,长月烬明追月狂潮二创大赛,罗云熙,白鹿,混剪,玥烬情苏,剧情向,台词向",反正官配也被你们骂死了，不如就按原著剪吧！！,505160
//space.bilibili.com/1119253352,顾我电影,3199,590,2903,//www.bilibili.com/video/BV1Ph411L7uy,228094758,19291,90,影视,251,362,"人生,电影解说,励志,流星,经典电影,影评杂谈,成长,高分电影,温情,新剧好剧一起看,星动安利大作战·初夏篇",人生在世我们都是一颗流星，要在转瞬即逝的时间里璀璨无比,220661
//space.bilibili.com/25986282,圣微,3456,330,21932,//www.bilibili.com/video/BV19V4y1o7tY,867914125,96572,89,影视,981,4817,"B站小剧场,古风,大话西游,国风,至尊宝,圣微,我在B站拍短剧",“滴！至尊宝体验卡！”感谢美女们那么宠我！！！【圣微】,1050829
//space.bilibili.com/525382468,人间放映厅,1744,593,5730,//www.bilibili.com/video/BV1Fz4y1Y74h,570462745,22501,88,影视,582,1407,"电影解说,谭咏麟,影评杂谈,胡冠珍,老电影,王童,茅台,假如我是真的,影视整活大赏,影娱电子榨菜市场",《假如我是真的》：一瓶假茅台引发的血案？老电影也太敢拍了！,356656
//space.bilibili.com/1381033885,小萌萌萌的电影,274,397,700,//www.bilibili.com/video/BV1Gk4y1n7ra,740524084,11780,87,影视,159,64,"影评,转角遇到春天,人性,电影解说,电影,电影剪辑,影视杂谈,适合春天的电影,必剪创作",表面上只是一场生死游戏，实际上却把人性表现得淋漓尽致,366111
