au_href,author,coin,danmaku,favorite,href,id,like,rank_num,rank_tab,reply,share,tag_name,title,view
//space.bilibili.com/3493081991088642,曦曦剧场,35,1,2732,//www.bilibili.com/video/BV1ig411J7Tv,518551271,537,100,新人,0,2,"B站小剧场,整容,电影,影视剪辑,电影解说,美女,影评杂谈,代价,欲望",女孩为了成名不惜全脸整容，最后她为自己的欲望付出惨痛代价！,720909
//space.bilibili.com/482938257,贝多菌,1705,81,33061,//www.bilibili.com/video/BV1PW4y1L77t,946871414,8853,99,新人,88,6,"动漫杂谈,末日,小说,行尸走肉,生存,翻拍",[行尸之王02]第一特遣队遭袭,2635357
//space.bilibili.com/3493107437930613,宇媱奇闻,120,1,16788,//www.bilibili.com/video/BV1zA411X7kG,306626061,1739,98,新人,6,1,"秦始皇,奇闻异事",秦始皇为什么没有走出陵墓,3020501
//space.bilibili.com/305564483,樱桃疯狂啃丸子,1142,68,39539,//www.bilibili.com/video/BV1Gd4y1x7CY,391066919,8008,97,新人,74,466,"手机游戏,攻略,通关攻略,快速通关,教程攻略,糖中有毒,蛋仔派对,推荐宝藏游戏",糖中有毒作者的新老六图，《探秘番茄谷》的快速通关攻略,606494
//space.bilibili.com/1633599483,小乔的异想世界_1,412,6,6577,//www.bilibili.com/video/BV1TY411o7sa,262707192,1653,96,新人,11,17,"生活改造计划,生活记录,独居,房子,一个人,记录,租房,租房子,生活改造计划·第四期",不知道你们毕业后是跟父母一起住，还是想追求自由自己在外租房子,2005658
//space.bilibili.com/472791981,小春日和啊Q,487,19,29305,//www.bilibili.com/video/BV18W4y1p7TM,945692969,3000,95,新人,24,187,"高能,搞笑,鸡,坤坤,鸡你太美",坤坤VS美国人,556384
//space.bilibili.com/3461579976739486,旦旦电影a,407,11,14705,//www.bilibili.com/video/BV1ZG411K75p,433830153,2330,94,新人,68,2,"影评,悬疑,电影解说,奇幻,影视考古大赛,放大,魔盒,2022影娱年终大盘点",神奇盒子，能把物体放大，你会选择怎么用,800362
//space.bilibili.com/3461579230152981,小兔学画画,49,0,1047,//www.bilibili.com/video/BV1484y1r7Yg,606059961,500,93,新人,1,4,"绘画,可爱,儿童画,家庭教育,绘画教程,优秀,孩子成长,简笔画,亲子,育儿",三分钟学简笔画：孩子成长的黄金有效期，你做到了真正的陪伴了吗,1006467
//space.bilibili.com/3461582933724044,饭点兄弟,39,3,4635,//www.bilibili.com/video/BV1hM411z76s,521108045,342,92,新人,0,1,"美食,饭点兄弟,乡村,存档2022，开拍2023",老油条是什么菜？,1973546
//space.bilibili.com/3493089977043464,米尼麦泥轰,8514,358,44064,//www.bilibili.com/video/BV1tv4y1Q7qX,563964588,33401,91,新人,448,153,"原创动画,搞笑,90后成为老师,支教,泪目,动画短片群星计划",【轰】离谱！当90后的我成为老师？！,1158381
//space.bilibili.com/3461575836961751,戏精大哈哈,30,0,2078,//www.bilibili.com/video/BV1NP411F7f1,307384529,168,90,新人,0,1,"萌宠,汪星人,狗狗,剧情,宠物,营救,感动,罗威纳,我家宠物是真的爱我,动物观察局16.0·冬日暖心计划,百人百宠大会2.0",男主人为救小孩滚下山，狗狗叼起绳子前来营救！,1289494
//space.bilibili.com/3493086489479875,黄毅山,466,28,23182,//www.bilibili.com/video/BV1ZM41117aq,521808817,1872,89,新人,11,4,"原创,大战,迷宫",迷宫大战,2065438
//space.bilibili.com/545972766,原神雪豹,30212,797,165983,//www.bilibili.com/video/BV1YV4y1P7eW,861015354,110503,88,新人,1144,5597,"手机游戏,原神UP主激励计划,原神",原神雪豹：教你如何一天的时间，白嫖四星武器“渔获”,1882475
//space.bilibili.com/3461579081255201,踏雪寻梅3344,11970,339,26713,//www.bilibili.com/video/BV1y84y1x7tE,606366607,107594,87,新人,1026,8236,"娱乐,高能,奇葩,孙悟空,鬼畜,每个频道都有故事,一分钟扬名B站-第四期",我只是一只猴子，我又能怎么办呢……,2987292
//space.bilibili.com/3493095165397187,听朱朱碎碎念,737,45,56199,//www.bilibili.com/video/BV1kG4y1J7hj,819134051,8739,86,新人,92,52,"小说,广播剧,偷偷藏不住,偏偏宠爱,难哄,争议,言情,今年",今年对你们的争议好大啊,480789
//space.bilibili.com/1982347797,伟伟动漫,142,4,17885,//www.bilibili.com/video/BV1Ve4y1V7dg,649711945,1003,85,新人,2,4,"动漫杂谈,干物妹小埋,动漫,一口气看完",一口气看完《干物妹小埋》：有个可大可小的妹妹是种什么体验,379916
//space.bilibili.com/1234878530,泡泡乐多多,112,48,4589,//www.bilibili.com/video/BV1fG4y1d7e1,860616161,1974,84,新人,110,8,"跃动的文字第七期,速度,地球,自然,科普,科学,不严肃的轻科普",地球上的速度能有多块！快到你肉眼无法分辨,1628820
//space.bilibili.com/2099688017,猫哥谈宠,625,94,33744,//www.bilibili.com/video/BV1L14y1G77T,777152550,8759,83,新人,238,632,"萌宠,喵星人,动物观察局,猫,创作灵感,动物观察局16.0·冬日暖心计划",我们国内也有自己的猫岛,405329
//space.bilibili.com/1762881639,拿哥说漫,395,83,20873,//www.bilibili.com/video/BV1Gd4y1E7MW,392353788,2961,82,新人,11,29,"动态漫画,玛丽苏,霸道总裁,二次元,甜宠,剧本,皇太子,公爵,一口气,穿书",一口气看爽《爽文男主撕碎了剧本》穿书成为公爵之女，一心只想嫁给自己的二次元男神书中男主，却引起了皇太子的注意成为皇太子妃候选人，看她如何在两人之间反复横跳,408453
//space.bilibili.com/3493078371403915,和平精英酷二狗v,88,5,11850,//www.bilibili.com/video/BV1Ce4y157Hm,649478563,1119,81,新人,5,0,"电子竞技,手机游戏,和平精英",谁说我们四大天王不会打巅峰赛,921826
//space.bilibili.com/3493081903008251,全球古风乐库,951,64,94257,//www.bilibili.com/video/BV1dP411g7KJ,305272076,6965,80,新人,26,19,"乐评盘点,音乐,歌曲,听歌,好听,音乐推荐,歌单,不知道,宝藏,2022年",2022年好听却不知道歌名的宝藏音乐,1276117
//space.bilibili.com/3493089578584677,Lonely白狼LM,1108,63,53653,//www.bilibili.com/video/BV1id4y1a7n5,391826625,7351,79,新人,72,205,"歌曲,众金,凹凸,加查俱乐部",2022串烧歌曲，糖中含刀，小心食用,417921
//space.bilibili.com/3493080126720373,水牛智慧本人,8,8,922,//www.bilibili.com/video/BV1H44y1R7nJ,989336844,345,78,新人,7,1,"动漫杂谈,光头强,熊二",熊出没真的细节到了极致,736508
//space.bilibili.com/1056769023,野哥说漫,792,28,63757,//www.bilibili.com/video/BV1YD4y177k6,734069458,6802,77,新人,20,12,"漫画,动漫杂谈,动态漫画,恋爱,爱情,宠妻,重生,国漫,漫画推荐,漫画杂谈",前世你保护我，今生我保护你，可前世柔弱的妻子变成杀手怎么办？【又被冰娇缠上了】,743465
//space.bilibili.com/3461576967326521,暗号瞳,7739,2146,29970,//www.bilibili.com/video/BV1RK411X7CY,475919275,126235,76,新人,4896,24475,"手机游戏,手游,横版,冒险,PV,暗号：瞳,暗号瞳,东方风潮,宣传片",《暗号：瞳》实机PV首曝——新的驰途始于谢幕之后,5079974
//space.bilibili.com/1085678300,香魔游戏,1351,126,37952,//www.bilibili.com/video/BV1U8411p7FC,221434333,5997,75,新人,28,98,"盘点排行,游戏知识分享官,沙盒游戏,生存,迷你世界,像素风,盘点",迷你世界逃离地精老头1：最近地精老头正在抓玩迷你世界的人,488310
//space.bilibili.com/3493085096970928,迷之科学科普,48,16,3633,//www.bilibili.com/video/BV1m841177DX,220460262,420,74,新人,52,2,"人类,宇宙,地球,科学,世界,自然,科普,地下,万物研究所,万物研究所·2022第五期",人类能挖穿地球吗？地下的世界是怎么样呢？,817574
//space.bilibili.com/2140963000,和平精英米咔,2177,64,96150,//www.bilibili.com/video/BV16G4y1t728,817504760,11155,73,新人,29,89,"手机游戏,盘点排行,吃鸡,盘点,和平精英",盘点顶级压迫感视频#和平精英四圣降临 #和平精英突变版本 #黎明觉醒,1594477
//space.bilibili.com/3493108199197126,芹菜发儿本发呀,84722,1486,178947,//www.bilibili.com/video/BV1c84y1t7yW,606583738,433187,72,新人,5070,53092,"生活记录,樱花,写真,摄影,日系,一分钟扬名B站-第四期,如果我穿越回2000年",Sakura｜DV录像带,4317883
//space.bilibili.com/1863810491,法拉轩,1032,6,22609,//www.bilibili.com/video/BV1xP4y1v7nz,904483577,5857,71,新人,36,99,"马拉松,成功,跑步,痛苦,长跑,田径,跑姿",“你必须承受痛苦，才能获得成功” #保罗切里莫 #中长跑 #跑姿欣赏,219589
//space.bilibili.com/3461582958889298,不虾说,1376,162,61848,//www.bilibili.com/video/BV1w8411J7W7,222242956,11837,70,新人,90,58,"有声书,情感,小说,小说推荐,解压视频",只要我给老婆花钱，银行卡就会十倍返还，书名《老婆花钱我赚10倍》02,3297054
//space.bilibili.com/3493111246358680,雄仔动漫,96,13,3738,//www.bilibili.com/video/BV1hG4y1j72R,819559396,2183,69,新人,10,5,"动漫杂谈,童年回忆杀,动画短片,童年回忆,动漫解说,怀旧动漫,经典动漫,童年经典动画片",大力水手这次居然把菠菜喂给了情敌布鲁托，两人为了奥利弗竟然做出这些事,3802106
//space.bilibili.com/1005371255,锅包肉-盖饭,2536,4,105311,//www.bilibili.com/video/BV1M8411E7K2,222099858,16896,68,新人,63,132,"手机游戏,锅铲,地铁跑酷",锅铲：我不允许粉丝还不会这个操作,3925332
//space.bilibili.com/1938800372,菜鸟哥游戏解说,237,108,28442,//www.bilibili.com/video/BV1je411F7VC,262304183,3462,67,新人,11,13,"搞笑,躲闪摇,离谱,整活",躲闪摇身法到底被广大网友整的有多离谱,1570759
//space.bilibili.com/3461572793993843,默轩漫剪,355,38,12174,//www.bilibili.com/video/BV1DK41117KJ,477161288,16865,66,新人,78,29,万圣街,真的很羡慕大毛的发量,1561562
//space.bilibili.com/1197108247,影像历史先生,18658,7667,68904,//www.bilibili.com/video/BV18e411P78s,263624885,104325,65,新人,2162,11978,"历史,苏联,中国,北京,珍贵,彩色,绝版,影像",1949年北京彩色绝版影像：曾被苏联封存68年，无比珍贵！,4135993
//space.bilibili.com/3493076649642831,楽楽哦,568,287,33452,//www.bilibili.com/video/BV16g411J7DX,518534330,7899,64,新人,282,110,"短片,年终校园大赏,校园,原创,校园生活,冬日校园日常",网瘾少年的校园生活,2959620
//space.bilibili.com/1586346279,田园宝贝儿01,14977,2764,35696,//www.bilibili.com/video/BV1xD4y1h7Yh,733997273,271064,63,新人,1757,7181,"萌宠,喵星人,狸花猫",大咪闷声干大事 懂事的让人心疼,3286507
//space.bilibili.com/3493074456021651,啊力解说,370,15,19200,//www.bilibili.com/video/BV16M41127H8,521417528,2321,62,新人,12,20,"我的世界,mc",当一万个村民都有了意识 会是一种什么体验呢？,2061844
//space.bilibili.com/3493091252111478,是公益环保王,228,8,5886,//www.bilibili.com/video/BV1Gv4y1B7a6,564519166,1169,61,新人,16,14,"趣闻,探险,垃圾,揭秘,河道,清理",揭秘强磁打捞的真实收入,583049
//space.bilibili.com/3493093261183674,孟德斯啾咪_JIU,6206,2096,97243,//www.bilibili.com/video/BV1RR4y167JA,349101142,166022,60,新人,1429,3105,"盛世美颜,王一菲,澹台烬,长月烬明,张芷溪,古装混剪,罗云熙,白鹿,孙珍妮",“这导演是住在b站吧！不然怎么能选出颜值盛宴！”,3506120
