au_href,author,coin,danmaku,favorite,href,id,like,rank_num,rank_tab,reply,share,tag_name,title,view
//space.bilibili.com/450693777,大可的手学会了,7501,118,116500,//www.bilibili.com/video/BV1no4y1L7AE,400461155,108698,100,生活,526,3695,"手工,惊喜,母亲节,DIY,机关,教程,花束,礼物,必剪创作,一起做手工吧！,一起做手工吧5.0·离谱手作大赏",母亲节，我们一起给妈妈一个大大的惊喜吧！,468004
//space.bilibili.com/297242063,黄一刀有毒,1468,997,3536,//www.bilibili.com/video/BV1HP41127Tu,313038592,31895,99,生活,1137,511,"漫画,原创,皇帝,娱乐,搞笑,动漫,科普,吐槽,沉浸式,搞笑研究所,搞笑研究所2023 3.0",沉浸式体验当皇帝的一天,479257
//space.bilibili.com/478908296,老四的快乐生活,1685,552,1146,//www.bilibili.com/video/BV1bo4y1L7C9,400523019,41707,98,生活,475,241,"原创,大堂经理,搞笑研究所,搞笑研究所2023 3.0",大堂经理打造洗浴品牌连锁店,504117
//space.bilibili.com/2912478,大蟀蝈呀,13777,1144,4581,//www.bilibili.com/video/BV1fs4y1c7ZR,953048106,29385,97,生活,463,3794,"同人配音,孙悟空,西游记,大蟀蝈,搞笑配音,GPT,五一放假整点啥,搞笑研究所2023 3.0",大唐高科技，取经GPT。,400587
//space.bilibili.com/3493258093136850,野球场脏无忌,1349,15,2455,//www.bilibili.com/video/BV1fa4y1V7Bi,655543610,68673,96,生活,109,149,"美食,体育,原创,高能,篮球",全网最美球场，欢迎各位打卡,1390840
//space.bilibili.com/10808459,江湖百晓生呀,344,162,8031,//www.bilibili.com/video/BV1kX4y1m7Zp,355546257,50586,95,生活,135,389,"梗,搞笑,魔性,冈易爱人,乌龟大师仙逝,沙雕,搞笑研究所,搞笑研究所2023 3.0",盘点近期网络热梗：乌龟大师仙逝、冈易爱人,766854
//space.bilibili.com/494680886,苏执君,3069,750,11739,//www.bilibili.com/video/BV1Eh411L7ay,228110378,32076,94,生活,561,3164,"剪辑,高能,搞笑,鬼畜,丁真,猪猪侠,抽象,刀哥,虎哥,超人强",我剪的时候都没绷住,676716
//space.bilibili.com/1752077071,阿哲什么都会,37959,2815,29374,//www.bilibili.com/video/BV1ho4y1L7NH,400492876,222063,93,生活,2584,43053,"生活记录,情侣,爱情,高能,搞笑,情感,娱乐,185帅哥,女朋友,搞笑研究所,搞笑研究所2023 3.0",求婚计划被女朋友发现后...,2222095
//space.bilibili.com/457718798,主持人yoyo酱,1036,189,2587,//www.bilibili.com/video/BV1DM4y187HH,910583800,67831,92,生活,492,658,"颢鑫,冤种搭档,冤种主持,宝藏媒体人,情侣日常,yoyo,B站宝藏媒体人2023",我也不想啊，可是她真的好可爱！,938563
//space.bilibili.com/317783104,超正经的小李,5535,1041,3538,//www.bilibili.com/video/BV1Vs4y1R7zf,995546634,43187,91,生活,472,224,"生活记录,美女,VR,娱乐,改造,逗比的雀巢,小剧场,Room tour,五一放假整点啥,搞笑研究所2023 3.0,Pico 4 Pro",拥有千万粉丝的工作室！长啥样？,427748
//space.bilibili.com/5398909,阿舟Yukiin,1488,1170,5675,//www.bilibili.com/video/BV16s4y1R7YN,995598898,78865,90,生活,243,949,"偶像梦幻祭,无料,es,cp29,随手记录我的生活碎片,生活万花筒6.0·沸腾吧！青年",天降红票雨 等你来拿,623448
//space.bilibili.com/523610172,系杨某人啊,691,1462,3958,//www.bilibili.com/video/BV1eM41157AW,527937218,51391,89,生活,504,206,"诡异图片,视觉欺骗图,我的普通生活不普通,追一趟春日列车",视觉欺骗图2，其实你的眼睛一直在欺骗你,807301
//space.bilibili.com/1309665635,速写班长,1056,76,29484,//www.bilibili.com/video/BV15g4y1L7x1,825508093,58711,88,生活,266,915,"绘画,速写,画画,速写素材,速写60天挑战赛,生活万花筒6.0·沸腾吧！青年",【速写班长素材】好杀的帅气！,272711
//space.bilibili.com/321206743,cheems日记,330,316,6037,//www.bilibili.com/video/BV1fV4y1R7bu,868034054,59106,87,生活,260,545,"搞笑,娱乐,高能,奇葩,幽默,恶作剧,配音,段子",这案子破的是如此轻松！,586774
//space.bilibili.com/396848107,不愧是姐姐大人,7610,4910,6344,//www.bilibili.com/video/BV1Fc411T7gF,270586807,38959,86,生活,2570,8425,"互动视频,测试,恋爱,情侣,情感,不愧是姐姐大人,寡王,恋爱脑,感性,性格测试",恋爱脑风险检测！你会是隐性恋爱脑吗？日常脑内是黄色废料or粉色泡泡？,376807
//space.bilibili.com/434157581,李格Greg,4878,1526,11509,//www.bilibili.com/video/BV1Xh4y1n7YN,613029642,39960,85,生活,704,194,"UP主,歪果仁,中国,某幻君,博主,徐大虾,沃玛,鲤鱼ace,中国BOY超级大猩猩,在家怎么过五一,长辈观察局","沃玛、鲤鱼Ace、徐大虾、某幻君、中国Boy, 法国人怎么看五大中国博主?",380535
