au_href,author,coin,danmaku,favorite,href,id,like,rank_num,rank_tab,reply,share,tag_name,title,view
//space.bilibili.com/74239189,BestRyze,1073,126,1614,//www.bilibili.com/video/BV1xg4y1L7wh,825547701,3356,100,科技,491,208,"DIY,毕业设计,嵌入式,机器人,六足机器人,厄加特,大专,恐怖机器人,硬件设计,科技猎手2023",600个小时，一个带专学术垃圾能做出怎样的毕设,78168
//space.bilibili.com/311219139,灬小天灬ps,2319,253,1114,//www.bilibili.com/video/BV1L14y1Z75A,783118320,3565,99,科技,1847,495,"数码,DIY,超频,电脑,核心直触,13900ks,ek909,全家桶,EK,开盖,分体水",3块特挑13900ks开盖 ek直触冷头安装集锦（最后只活这一块）,58612
//space.bilibili.com/277401436,汐褪残虹,26,25,193,//www.bilibili.com/video/BV1jh411L7D8,228108916,2917,98,科技,91,7,"ps,快速,方法,必剪创作",快速分出红绿豆的方法,175343
//space.bilibili.com/496187120,钙星球,64,10,2375,//www.bilibili.com/video/BV1VW4y1772C,944672115,2352,97,科技,35,20,"舞蹈,数码,测评,评测,测试,开箱,黑科技,跳舞,体验",中年人跳舞不容易！光纤灯测评来啦！#光纤灯 #测评,981594
//space.bilibili.com/471993422,6GHz,813,1134,539,//www.bilibili.com/video/BV1RL411h79R,443096778,4762,96,科技,1201,212,"数码,小米手机,小米13pro,p60pro,小米13ultra,findx6pro,红米手机,华为手机,oppo,小米13,科技猎手2023",便宜大碗总是要付出点啥——小米13Ultra,87445
//space.bilibili.com/70941576,联强电竞装备库,80,261,169,//www.bilibili.com/video/BV14s4y1R7d7,995558854,5302,95,科技,807,223,"数码,装机,显卡,NVIDIA,电脑,硬件,4060ti,电脑装机,显卡价格,科技猎手2023",英伟达显卡库存已爆表！4060ti五月发布2899！AMD趁机发布7600xt！,148728
//space.bilibili.com/395188578,爱上半导体,1153,133,1719,//www.bilibili.com/video/BV1Ah4y1H7Jz,613060787,4825,94,科技,182,89,"物理,电路,知识,电磁感应,芯片,电子,电容,电子学,电感,科技猎手2023",看懂电感的这两个作用，电子学基本上就入门了,67742
//space.bilibili.com/3493136168912924,万能老王啊,1600,31,6365,//www.bilibili.com/video/BV19c411J7Cs,270485295,3237,93,科技,220,427,"黑科技,浏览器,科技,Edge浏览器,Chatgpt,实用软件",【建议收藏】这才是你们真正需要的 | 2023年最强浏览器！,59520
//space.bilibili.com/86883701,精致的男孩富贵,3194,1811,13682,//www.bilibili.com/video/BV1pT411n73j,485281773,80404,92,科技,2990,7960,"人文,文化,科技,AI,人工智能,吐槽,互联网,ChatGPT来啦,科技猎手2023",弱智吧为何成为AI头号公敌,1838151
//space.bilibili.com/82363089,小宇Boi,403582,3857,996563,//www.bilibili.com/video/BV1Es4y157mF,950701791,609773,91,科技,5080,81616,"浏览器,黑科技,AI,Chatgpt,联网的AI,干货,解锁,Edge,建议收藏,小宇Boi",这才是我想要的浏览器！纯干货，建议收藏！！！,6530011
//space.bilibili.com/1773634408,学长东桑,75,54,431,//www.bilibili.com/video/BV1Hs4y1R7GD,995537630,8883,90,科技,187,29,"数码,科技,手机,分享,折叠屏,折叠屏手机,科技猎手2023",当你兄弟想入折叠屏手机,110523
//space.bilibili.com/423294755,代码兔兔小师姐,3129,64,3417,//www.bilibili.com/video/BV1rP411274F,313103639,3581,89,科技,2219,174,"科学,人工智能,哈工大,硬核,编程,机器学习,未来发展,深度学习,GPT,自然语言,ChatGPT来啦,科技猎手2023",【全网最硬核GPT原理解析】哈工大ChatGPT调研报告！原理解读/核心算法/未来发展方向,46494
//space.bilibili.com/138780964,新评科技,4989,1257,945,//www.bilibili.com/video/BV1bo4y1w7xS,400570161,7260,88,科技,649,298,"数码,小米,华为,小米 MIX Fold 2,OPPO Find N2,OPPO,vivo,折叠屏,华为 Mate X3,荣耀Magic Vs,vivo X Fold2",花费5万 我又摔了5款折叠屏手机 结局大反转【新评科技】,54385
//space.bilibili.com/476858,真腰果,21,18,194,//www.bilibili.com/video/BV1Ss4y1c7E8,953015586,3673,87,科技,94,10,"特摄,数码,奥特曼,泽塔奥特曼,LG C2,码率,新奥特曼,捷德奥特曼,杜比视界",新奥特曼 平均码率逼近100Mb/s的片子,205713
//space.bilibili.com/517207238,铭匠光学,54,36,562,//www.bilibili.com/video/BV1fL411Y7JC,442974135,5694,86,科技,147,349,"数码,科技,摄影,尼康战歌,虚化,目中无人,大光圈镜头",别再说为什么你的相机拍不出虚化了！,202050
