au_href,author,coin,danmaku,favorite,href,id,like,rank_num,rank_tab,reply,share,tag_name,title,view
//space.bilibili.com/252680534,澈零喵,3066,205,6355,//www.bilibili.com/video/BV1MP411U7pN,312894562,16532,100,音乐,213,786,"填词,主题曲,梦幻联动,双厨狂喜,星间旅行,崩坏星穹铁道,高燃,米哈游,原神,星尘infinity",《崩坏：原神铁道》OP：「七国旅行」,171634
//space.bilibili.com/2018084946,郁欢0v0,3812,261,2229,//www.bilibili.com/video/BV1dL411Y7LN,442959400,9747,99,音乐,790,294,"翻唱,女声,吉他弹唱,五一快乐,听见春天计划",从前从前 有个人爱你很久,169472
//space.bilibili.com/365106543,权顺荣hoshi吧,757,283,3646,//www.bilibili.com/video/BV1ok4y1J7WQ,740509911,14711,98,音乐,163,437,"音乐现场,SEVENTEEN,权顺荣,Hoshi,直拍,K-Pop",【权顺荣 Hoshi】全体起立！虎门膜拜！KBS 音乐银行 SEVENTEEN 权顺荣Hoshi '孙悟空(Super)'  4K直拍,57920
//space.bilibili.com/33140191,释螺,478,65,2620,//www.bilibili.com/video/BV1g14y1Z7YY,783067507,7220,97,音乐,298,1841,"电音,翻唱,虚拟歌手,DJ,说唱,虚拟UP主,丁真,雪Distance,东雪莲,AI虚拟之声实验室,虚拟之声创作计划·2023第二期",【AI东雪莲】😭可是雪啊，飘进双眼 《雪 Distance》,137840
//space.bilibili.com/399346615,爱歌bot,82,7,224,//www.bilibili.com/video/BV1gh4y1H74k,613119270,9225,96,音乐,54,71,"音乐现场,薛之谦,刘惜君,薛之谦演唱会,华语现场,KPOP人集合企划",刘惜君来薛之谦演唱会想独自唱！啊哈哈哈！,276637
//space.bilibili.com/520585457,adropofevil,875,559,2126,//www.bilibili.com/video/BV1Yo4y147UJ,397960642,5443,95,音乐,563,6870,"欧美音乐,翻唱,DIVA,Ariana Grande,AI翻唱",【Ariana Grande AI翻唱】韩红 - 天路,171444
//space.bilibili.com/690545051,吹拉弹唱慕星银,2195,281,953,//www.bilibili.com/video/BV1am4y117hK,698078613,6148,94,音乐,407,180,"国风音乐,翻唱,女声,游戏音乐,新倩女幽魂,古风歌,改编,古风,新倩女幽魂十二周年,乐队,回忆杀",十二年间，这个古风网游竟出过这么多好听的歌？,163370
//space.bilibili.com/1125070776,大志与妮那,44,57,220,//www.bilibili.com/video/BV1Rh411j7sX,227904940,3817,93,音乐,85,9,"翻唱,大志与妮娜,豬大志,听见春天计划,用唱歌打开假期的100种方式",谁来给我解释一下歌词？,370494
//space.bilibili.com/797614,阿赫official,1103,137,6620,//www.bilibili.com/video/BV1Ck4y177Nc,740568184,7205,92,音乐,300,1222,"VOCALOID,镜音铃,镜音连,虚拟歌手,ゆうゆ,天乐","【鏡音リン,鏡音レン】天樂 -双響-【ゆうゆ】",43345
//space.bilibili.com/355912750,我兔音乐军,14245,208,411386,//www.bilibili.com/video/BV1RM411y7ce,522154972,40219,91,音乐,41,74,"乐评盘点,欧美音乐,电音,电子音乐,EDM,百大DJ,年度音乐盘点,神级现场,超燃战歌,音乐综合",一入电音深似海从此走路都带甩盘点十首全球顶级电音从入门到精通,3456495
//space.bilibili.com/690111567,鱼酱_是这样说的,1041,54,3482,//www.bilibili.com/video/BV1TP41127yh,313024763,26423,90,音乐,284,404,"翻唱,偶像,YOASOBI,发疯,彻底疯狂",发癫时刻！！（yoasobi-偶像）,114107
//space.bilibili.com/110352985,GARNiDELiA,2757,166,2540,//www.bilibili.com/video/BV1XX4y1m7vn,355580527,10235,89,音乐,260,284,"MV,日语MV,公主,ED,片尾曲,动漫音乐,动画,单曲,番剧,ONLY",【GARNiDELiA】全新单曲 动画《祭品公主与兽之王》片尾曲《ONLY》,106120
//space.bilibili.com/488055582,新华网,59030,1998,28333,//www.bilibili.com/video/BV1Po4y177M1,400271839,87184,88,音乐,1393,4045,"原创歌曲,神话,高能,航天成就,政媒扶持计划,喊麦,小少焱,中国航天日,新华网,天穹,生机勃勃的春天！",《天穹》 有种霸气叫中国航天！,484096
//space.bilibili.com/342943435,音乐Fans小琼,229,596,2335,//www.bilibili.com/video/BV1Yo4y1L7P7,400495482,13480,87,音乐,451,202,"乐评盘点,音乐分享官,影视音乐,OST,BGM,音乐分享官7.0",戚薇真是“人和歌各火各”的，原来这4首爆火的OST，都是她唱的！,508396
//space.bilibili.com/10039237,英国秀才,1196,69,2905,//www.bilibili.com/video/BV1N24y1F7DG,782946513,42030,86,音乐,352,2098,"翻唱,吉他弹唱,弹唱,泰裤辣",泰裤辣！,345249
//space.bilibili.com/313580179,九三的耳朵不是特别好,3830,145,2240,//www.bilibili.com/video/BV18z4y1Y7PJ,570563092,14242,85,音乐,670,405,"翻唱,听见春天计划,用唱歌打开假期的100种方式",这是一首简单的小甜歌^ ^,185319
